OPEID6,INSTNM,CIPCODE,CIPDESC,EARN_MDN_HI_1YR,EARN_MDN_HI_2YR,DEBT_ALL_STGP_EVAL_MDN
1002,Alabama A & M University,2701,Mathematics.,,,
1002,Alabama A & M University,5202,"Business Administration, Management and Operations.",38753,39153,30000
1002,Alabama A & M University,5202,"Business Administration, Management and Operations.",33781,43798,43588
1002,Alabama A & M University,5203,Accounting and Related Services.,41929,35416,27875
1002,Alabama A & M University,5207,Entrepreneurial and Small Business Operations.,,,
1002,Alabama A & M University,5208,Finance and Financial Management Services.,,37568,
1002,Alabama A & M University,5214,Marketing.,,,26500
1052,University of Alabama at Birmingham,2701,Mathematics.,39459,38829,23571
1052,University of Alabama at Birmingham,2701,Mathematics.,,,
1052,University of Alabama at Birmingham,2703,Applied Mathematics.,,,
1052,University of Alabama at Birmingham,2705,Statistics.,,,
1052,University of Alabama at Birmingham,5202,"Business Administration, Management and Operations.",,,
1052,University of Alabama at Birmingham,5202,"Business Administration, Management and Operations.",45512,44021,24000
1052,University of Alabama at Birmingham,5202,"Business Administration, Management and Operations.",45512,70176,34459
1052,University of Alabama at Birmingham,5202,"Business Administration, Management and Operations.",,,
1052,University of Alabama at Birmingham,5203,Accounting and Related Services.,,,
1052,University of Alabama at Birmingham,5203,Accounting and Related Services.,48623,45696,27000
1052,University of Alabama at Birmingham,5203,Accounting and Related Services.,55835,60920,29751
1052,University of Alabama at Birmingham,5206,Business/Managerial Economics.,,,
1052,University of Alabama at Birmingham,5207,Entrepreneurial and Small Business Operations.,,,
1052,University of Alabama at Birmingham,5207,Entrepreneurial and Small Business Operations.,,,
1052,University of Alabama at Birmingham,5208,Finance and Financial Management Services.,44954,45529,19000
1052,University of Alabama at Birmingham,5210,Human Resources Management and Services.,,,22375
1052,University of Alabama at Birmingham,5212,Management Information Systems and Services.,,,
1052,University of Alabama at Birmingham,5212,Management Information Systems and Services.,52299,52107,26000
1052,University of Alabama at Birmingham,5212,Management Information Systems and Services.,78497,84653,40861
1052,University of Alabama at Birmingham,5212,Management Information Systems and Services.,,,
1052,University of Alabama at Birmingham,5214,Marketing.,,,
1052,University of Alabama at Birmingham,5214,Marketing.,36117,38829,22072
1052,University of Alabama at Birmingham,5214,Marketing.,,,
1052,University of Alabama at Birmingham,5218,"General Sales, Merchandising and Related Marketing Operations.",,,
1052,University of Alabama at Birmingham,5218,"General Sales, Merchandising and Related Marketing Operations.",,,
25034,Amridge University,5202,"Business Administration, Management and Operations.",,,
25034,Amridge University,5202,"Business Administration, Management and Operations.",,,
25034,Amridge University,5202,"Business Administration, Management and Operations.",,,59817
25034,Amridge University,5202,"Business Administration, Management and Operations.",,,
25034,Amridge University,5205,Business/Corporate Communications.,,,
25034,Amridge University,5210,Human Resources Management and Services.,,,
25034,Amridge University,5210,Human Resources Management and Services.,,,
25034,Amridge University,5210,Human Resources Management and Services.,,,
25034,Amridge University,5212,Management Information Systems and Services.,,,
25034,Amridge University,5212,Management Information Systems and Services.,,,
1055,University of Alabama in Huntsville,2701,Mathematics.,54127,,
1055,University of Alabama in Huntsville,2701,Mathematics.,,,
1055,University of Alabama in Huntsville,2703,Applied Mathematics.,,,
1055,University of Alabama in Huntsville,5201,"Business/Commerce, General.",,,
1055,University of Alabama in Huntsville,5202,"Business Administration, Management and Operations.",36684,43993,18500
1055,University of Alabama in Huntsville,5202,"Business Administration, Management and Operations.",,,
1055,University of Alabama in Huntsville,5202,"Business Administration, Management and Operations.",67974,,17000
1055,University of Alabama in Huntsville,5202,"Business Administration, Management and Operations.",,,
1055,University of Alabama in Huntsville,5203,Accounting and Related Services.,40282,38289,21034
1055,University of Alabama in Huntsville,5203,Accounting and Related Services.,,55964,
1055,University of Alabama in Huntsville,5203,Accounting and Related Services.,,,
1055,University of Alabama in Huntsville,5206,Business/Managerial Economics.,,,
1055,University of Alabama in Huntsville,5208,Finance and Financial Management Services.,44794,41565,
1055,University of Alabama in Huntsville,5210,Human Resources Management and Services.,,,
1055,University of Alabama in Huntsville,5210,Human Resources Management and Services.,,,
1055,University of Alabama in Huntsville,5212,Management Information Systems and Services.,51668,48823,20088
1055,University of Alabama in Huntsville,5212,Management Information Systems and Services.,,,
1055,University of Alabama in Huntsville,5212,Management Information Systems and Services.,,,
1055,University of Alabama in Huntsville,5212,Management Information Systems and Services.,,,
1055,University of Alabama in Huntsville,5213,Management Sciences and Quantitative Methods.,,,
1055,University of Alabama in Huntsville,5213,Management Sciences and Quantitative Methods.,72188,,
1055,University of Alabama in Huntsville,5213,Management Sciences and Quantitative Methods.,,,
1055,University of Alabama in Huntsville,5214,Marketing.,36681,31839,15250
1005,Alabama State University,2701,Mathematics.,,,
1005,Alabama State University,2701,Mathematics.,,,
1005,Alabama State University,5202,"Business Administration, Management and Operations.",34683,39369,31187
1005,Alabama State University,5203,Accounting and Related Services.,35858,,30000
1005,Alabama State University,5203,Accounting and Related Services.,,,19383
1005,Alabama State University,5208,Finance and Financial Management Services.,,,
1005,Alabama State University,5214,Marketing.,,25967,
1051,The University of Alabama,2701,Mathematics.,46634,42188,20000
1051,The University of Alabama,2701,Mathematics.,,,
1051,The University of Alabama,2701,Mathematics.,,,
1051,The University of Alabama,2703,Applied Mathematics.,,,
1051,The University of Alabama,2705,Statistics.,,,
1051,The University of Alabama,2705,Statistics.,,,
1051,The University of Alabama,2706,Applied Statistics.,,,
1051,The University of Alabama,2706,Applied Statistics.,,,
1051,The University of Alabama,5201,"Business/Commerce, General.",,,
1051,The University of Alabama,5202,"Business Administration, Management and Operations.",42470,43561,23250
1051,The University of Alabama,5202,"Business Administration, Management and Operations.",78913,80004,33500
1051,The University of Alabama,5202,"Business Administration, Management and Operations.",,,
1051,The University of Alabama,5203,Accounting and Related Services.,52220,53537,22190
1051,The University of Alabama,5203,Accounting and Related Services.,57197,62707,
1051,The University of Alabama,5203,Accounting and Related Services.,,,
1051,The University of Alabama,5206,Business/Managerial Economics.,44909,52733,21500
1051,The University of Alabama,5206,Business/Managerial Economics.,,74017,
1051,The University of Alabama,5206,Business/Managerial Economics.,,,
1051,The University of Alabama,5208,Finance and Financial Management Services.,48795,52643,23250
1051,The University of Alabama,5208,Finance and Financial Management Services.,,,
1051,The University of Alabama,5208,Finance and Financial Management Services.,,,
1051,The University of Alabama,5209,Hospitality Administration/Management.,33886,31236,22662
1051,The University of Alabama,5209,Hospitality Administration/Management.,,,
1051,The University of Alabama,5212,Management Information Systems and Services.,66858,71015,21375
1051,The University of Alabama,5212,Management Information Systems and Services.,,,
1051,The University of Alabama,5213,Management Sciences and Quantitative Methods.,52711,56351,23250
1051,The University of Alabama,5213,Management Sciences and Quantitative Methods.,84175,84653,
