OPEID6,INSTNM,C150_4,ADM_RATE,SATVR25,SATMT25,COSTT4_A,NPT4_PUB,NPT4_PRIV,UGDS,LOCALE,CITY,STABBR,PCIP27,PCIP52,CIP27BACHL,CIP52BACHL
1052,University of Alabama at Birmingham,0.2403,0.8818,600,610,28145,18749,,11635,12,Birmingham,AL,0.0055,0.1997,1,1
25034,Amridge University,0.6423,,,,,,,241,12,Montgomery,AL,,0.4333,,2
1055,University of Alabama in Huntsville,1,0.6857,600,610,27392,18796,,6591,12,Huntsville,AL,0.0156,0.1774,1,1
1005,Alabama State University,0.6429,0.9755,399,350,23586,20435,,3477,12,Montgomery,AL,0.0064,0.1191,1,1
1008,Athens State University,0.7337,,,,,,,2446,31,Athens,AL,0.0203,0.3198,1,2
8310,Auburn University at Montgomery,,0.9157,538,498,21353,13224,,2542,12,Montgomery,AL,0.0124,0.1855,1,1
13039,South University-Montgomery,0.326,,,,34793,,27807,299,12,Montgomery,AL,,0.0429,,2
1019,Huntingdon College,,0.6949,533,473,40908,,22566,879,12,Montgomery,AL,0.0301,0.1928,1,1
1020,Jacksonville State University,0.125,0.7769,500,500,24257,14279,,7036,23,Jacksonville,AL,0.0007,0.146,1,2
1028,Miles College,,,,,21154,,14271,1155,21,Fairfield,AL,0.0132,0.3487,1,2
1029,University of Mobile,,0.7789,,,41115,,22382,1307,41,Mobile,AL,0.0045,0.1577,1,2
1016,University of North Alabama,0.347,0.8731,,,23786,12170,,5811,13,Florence,AL,0.0038,0.2311,1,2
1033,Oakwood University,,0.4522,,,40176,,25669,1153,12,Huntsville,AL,0.0209,0.1414,1,1
40673,Selma University,0.541,,,,,,,32,32,Selma,AL,,,,1
1041,Spring Hill College,,0.7657,,,39936,,20449,782,12,Mobile,AL,,0.3235,1,2
1044,Stillman College,0.4462,0.6225,,,26107,,15258,706,12,Tuscaloosa,AL,0.0083,0.2231,1,1
1046,Talladega College,,0.8542,,,25185,,15560,701,32,Talladega,AL,,0.331,1,2
1047,Troy University,0.7704,0.9604,490,450,23165,16527,,9805,33,Troy,AL,0.0019,0.1945,1,2
1050,Tuskegee University,0.06,0.4868,,,43454,,35013,2630,32,Tuskegee,AL,0.003,0.0776,1,1
21706,United States Sports University,,0.6137,,,32606,,24076,228,13,Daphne,AL,,,,
11462,University of Alaska Anchorage,0.5267,,,,24096,15301,,7212,11,Anchorage,AK,0.0034,0.1177,1,2
8843,Alaska Bible College,0.521,,,,28903,,17508,24,23,Palmer,AK,,,,
1081,Arizo State University Campus Immersion,0.4722,0.8989,,,30111,14967,,64674,12,Tempe,AZ,0.0102,0.2456,1,1
1083,University of Arizo,0.5606,0.8614,580,570,29423,16674,,42537,11,Tucson,AZ,0.0112,0.1507,1,1
1479,Embry-Riddle Aeroutical University-Prescott,,0.7658,580,560,62798,,40287,3218,13,Prescott,AZ,,0.0476,,1
1074,Grand Canyon University,,0.7891,518,488,32702,,22472,73371,11,Phoenix,AZ,,0.2124,,2
1082,Northern Arizo University,,0.8961,,,29933,14158,,22903,13,Flagstaff,AZ,0.0054,0.1769,1,2
